"id_encuestado","pais","region","zona","edad","generacion","sexo_biologico","ingreso_anual","importante_trabajo","ocurrio_trabajo","expectativa_trabajo","sentimiento_si_no_trabajo","importante_vivienda_propia","ocurrio_vivienda_propia","expectativa_vivienda_propia","sentimiento_si_no_vivienda_propia","importante_vida_independiente","ocurrio_vida_independiente","expectativa_vida_independiente","sentimiento_si_no_vida_independiente","importante_ser_padre","ocurrio_ser_padre","expectativa_ser_padre","sentimiento_si_no_ser_padre","importante_casarse","ocurrio_casarse","expectativa_casarse","sentimiento_si_no_casarse","importante_mascota","ocurrio_mascota","expectativa_mascota","sentimiento_si_no_mascota","idx_aspiracion_global","idx_expectativa_global","idx_satisfaccion_vida","D1_seguridad_economica","D2_vivienda_independencia","D3_familia_tradicional","D4_presion_social","D5_bienestar_emocional","D6_apertura_alternativas","D7_confianza_futuro","D8_estabilidad_laboral","D9_preocupacion_financiera","D10_apoyo_red_familiar","D11_expectativa_matrimonio","D12_optimismo_personal","D13_control_sobre_futuro","D14_autonomia_estilo_vida"
5778,"India","Asia",2,53,"Gen X",1,3654,"No","No","Incierto","Triste","No","No","Incierto","Triste","Sí","No","Incierto","Neutral","Sí","Sí","","","No","Sí","","","No","Sí","","",33.33,0,1.33,3.52,3.28,3.88,4.64,3.04,4.08,2.88,3.69,4.94,4.69,3.95,3.89,4.49,3.68
5782,"Suecia","Europa",1,56,"Gen X",1,129585,"Sí","No","Probable","Triste","No","Sí","","","Sí","Sí","","","No","Sí","","","Sí","Sí","","","No","No","Incierto","Neutral",50,100,1.5,5.11,3.8,4.47,3.56,4.8,4.05,3.68,6.22,2.61,4.95,4.23,4.48,3.21,3.81
5786,"India","Asia",2,68,"Baby Boomer",1,3651,"No","Sí","","","Sí","Sí","","","Sí","No","Cierto","Feliz","Sí","No","Probable","Neutral","No","Sí","","","No","Sí","","",50,100,2.5,4.18,3.23,5.28,4.65,3.71,3.44,3.28,2.83,4.39,4.33,3.72,3.86,3.69,3.49
5798,"India","Asia",1,58,"Gen X",1,2885,"Sí","Sí","","","No","No","Incierto","Feliz","No","No","Probable","Neutral","No","No","Probable","Triste","No","No","Incierto","Feliz","No","Sí","","",16.67,NA,2.25,3.1,3.81,5.39,4.69,2.96,5.26,2.72,3.09,5.22,3.23,3.51,3.52,2.85,3.36
5826,"India","Asia",2,50,"Gen X",1,5568,"Sí","No","Incierto","Feliz","No","Sí","","","No","No","Incierto","Neutral","No","No","Cierto","Neutral","No","No","Incierto","Triste","No","No","Cierto","Neutral",16.67,0,2,5.27,4.42,4.54,3.65,4.77,4.19,4.76,3.94,2.92,3.84,3.27,3.3,3.89,3.32
5836,"Suecia","Europa",2,28,"Gen Z",1,50136,"No","Sí","","","No","Sí","","","No","Sí","","","Sí","No","Incierto","Triste","No","No","Incierto","Triste","No","No","Incierto","Feliz",16.67,0,1.67,4.81,4.32,3.64,4.42,4,4.18,3.13,4.29,3.67,4.86,4.62,3.37,4.36,3.82
5842,"India","Asia",1,54,"Gen X",1,4184,"Sí","No","Incierto","Triste","No","No","Incierto","Neutral","No","No","Probable","Neutral","No","No","Cierto","Feliz","Sí","No","Incierto","Feliz","No","Sí","","",33.33,0,2.2,3.41,3.94,3.03,3.75,4.13,4.31,3.48,4.41,4.93,4.25,3.42,3.33,4.23,2.83
5848,"India","Asia",1,36,"Millennial",2,2750,"No","No","Probable","Feliz","No","No","Cierto","Neutral","Sí","No","Incierto","Neutral","No","No","Cierto","Triste","No","No","Incierto","Triste","No","No","Improbable","Triste",16.67,0,1.67,3.23,2.58,3.46,4.78,3.73,4.08,2.97,3.21,4.52,2.01,4.57,3.92,4.29,4
5859,"Suecia","Europa",1,31,"Millennial",2,38959,"Sí","Sí","","","No","Sí","","","No","Sí","","","No","No","Cierto","Feliz","No","No","Probable","Neutral","No","Sí","","",16.67,NA,NA,3.89,4.15,3.32,2.74,5.21,3.76,5.24,3.51,4.72,2.4,3.33,4.14,4.69,4.94
5861,"India","Asia",1,39,"Millennial",2,3628,"Sí","No","Incierto","Feliz","No","No","Incierto","Triste","Sí","No","Probable","Neutral","No","Sí","","","No","No","Improbable","Neutral","No","No","Improbable","Triste",33.33,50,1.8,4.28,3.01,4.95,4.38,4.2,2.65,2.78,3.46,4.58,5.61,4.26,3.55,2.33,2.13
5866,"India","Asia",2,60,"Gen X",2,1831,"Sí","No","Probable","Feliz","No","No","Improbable","Triste","No","No","Incierto","Triste","No","Sí","","","No","No","Cierto","Neutral","No","No","Improbable","Triste",16.67,100,1.6,3.01,3.04,3.97,4.32,2.78,2.51,2.88,2.6,5.38,3.9,3.73,4.52,4.12,4.38
5870,"Suecia","Europa",2,65,"Baby Boomer",1,93129,"No","Sí","","","Sí","No","Probable","Triste","No","Sí","","","No","Sí","","","Sí","No","Probable","Feliz","No","No","Probable","Feliz",33.33,100,2.33,4.37,4.21,3.37,2.87,4.56,4.06,4.18,3.38,3.59,4.18,2.86,5.05,3.67,4.79
5872,"India","Asia",2,23,"Gen Z",1,4143,"No","Sí","","","Sí","No","Incierto","Feliz","No","No","Incierto","Neutral","No","No","Incierto","Triste","No","No","Improbable","Neutral","No","No","Incierto","Neutral",16.67,0,2,2.53,3.23,3.47,3.61,2.25,6.08,2.02,2.46,5.69,3.73,3.71,2.96,2.88,3.43
5873,"Suecia","Europa",1,53,"Gen X",2,54969,"Sí","No","Cierto","Triste","Sí","No","Improbable","Neutral","No","Sí","","","Sí","No","Improbable","Neutral","No","Sí","","","No","Sí","","",50,33.33,1.67,5.58,3.64,4.26,3.58,4.63,3.2,4.96,5.63,3.9,5.05,4.14,3.74,3.77,3.6
5874,"India","Asia",2,70,"Baby Boomer",2,4435,"No","Sí","","","Sí","No","Incierto","Triste","No","Sí","","","Sí","No","Improbable","Neutral","No","Sí","","","No","Sí","","",33.33,0,1.5,3.97,4.94,4.01,3.17,3.02,5.1,2.97,4.57,4.34,3.19,2.94,4.6,2.9,3.84
5879,"Suecia","Europa",1,68,"Baby Boomer",2,63482,"Sí","Sí","","","Sí","Sí","","","Sí","Sí","","","No","Sí","","","No","Sí","","","Sí","No","Probable","Neutral",66.67,100,2,4.13,4.58,3.78,3.56,4.46,4.18,3.92,5.18,3.79,1.92,3.38,4.51,5.23,4.28
5882,"India","Asia",1,72,"Baby Boomer",2,2318,"No","Sí","","","Sí","Sí","","","No","No","Probable","Triste","No","No","Incierto","Triste","Sí","No","Incierto","Neutral","No","Sí","","",33.33,0,1.33,4.56,3.85,3.39,4.26,3.39,4.78,2.95,2.93,4.82,3.68,3.7,4.14,4.25,3.53
5895,"India","Asia",1,55,"Gen X",2,2370,"Sí","Sí","","","Sí","No","Incierto","Triste","No","No","Incierto","Feliz","No","No","Cierto","Neutral","No","No","Improbable","Triste","No","No","Incierto","Feliz",33.33,0,2,3.36,3.52,4.04,4.19,4.99,3.65,3.96,4.15,3.78,3.72,4.19,5.03,4.51,3.41
5897,"Suecia","Europa",1,50,"Gen X",2,56739,"Sí","Sí","","","Sí","No","Probable","Neutral","Sí","No","Cierto","Feliz","Sí","No","Probable","Triste","No","No","Cierto","Neutral","No","No","Probable","Feliz",66.67,100,2.2,3.76,4.32,3.56,3.82,4.02,3.57,4.18,4.39,4.33,3.92,4.14,3.35,3.75,4.36
5901,"Suecia","Europa",1,60,"Gen X",1,70619,"No","No","Probable","Triste","No","No","Probable","Feliz","Sí","Sí","","","Sí","No","Incierto","Triste","Sí","No","Probable","Neutral","Sí","No","Probable","Neutral",66.67,66.67,1.8,4.87,4.15,3.8,3.38,3.22,3.47,4.55,3.39,4.74,3.57,4.52,5.52,5.32,4.22
5904,"India","Asia",1,44,"Millennial",2,1601,"No","No","Probable","Triste","No","No","Incierto","Triste","Sí","Sí","","","Sí","Sí","","","No","No","Incierto","Feliz","No","No","Probable","Feliz",33.33,NA,2,3.2,3.33,3.93,4.6,3.66,4.32,2.34,1.34,6.47,3.4,4.84,3.5,3.27,3.12
5907,"India","Asia",2,20,"Gen Z",2,1701,"Sí","No","Probable","Triste","No","No","Improbable","Feliz","No","No","Incierto","Neutral","No","No","Incierto","Triste","No","No","Incierto","Triste","No","No","Probable","Neutral",16.67,100,1.67,3.9,3.89,2.52,3.26,4.21,4.35,1.26,3.45,4.06,4.11,3.86,2.62,3.44,4.21
5911,"Suecia","Europa",1,66,"Baby Boomer",2,102006,"Sí","Sí","","","Sí","No","Cierto","Triste","No","Sí","","","Sí","Sí","","","Sí","No","Probable","Triste","No","Sí","","",66.67,100,1,4.31,4.05,3.39,3.2,4.87,4.14,5.22,4.58,3.01,2.98,1.74,4.81,5.45,5.21
5917,"Suecia","Europa",1,65,"Baby Boomer",1,57719,"Sí","No","Cierto","Feliz","No","No","Improbable","Neutral","No","No","Cierto","Feliz","Sí","Sí","","","Sí","No","Probable","Feliz","Sí","No","Cierto","Feliz",66.67,100,2.8,5.65,5.3,3.9,3.89,4.4,2.98,4.44,5.57,2.96,4.53,4.12,5.17,5.11,4.4
5918,"India","Asia",1,34,"Millennial",1,3118,"No","Sí","","","No","No","Incierto","Triste","Sí","No","Cierto","Triste","No","Sí","","","Sí","No","Cierto","Feliz","No","No","Incierto","Neutral",33.33,100,NA,4.29,3.48,5.62,4.93,3.3,3.12,2.02,4.1,4.23,4.25,4.16,2.9,2.65,2.85
5920,"India","Asia",2,62,"Baby Boomer",2,2668,"No","Sí","","","No","No","Incierto","Triste","No","No","Probable","Feliz","Sí","No","Probable","Feliz","No","No","Improbable","Neutral","No","No","Probable","Triste",16.67,100,2,3.41,3.3,3.05,3.59,4.13,4.65,4.81,4.4,4.32,3.27,2.6,4.19,4.2,4.68
5930,"India","Asia",2,57,"Gen X",1,4699,"Sí","Sí","","","No","No","Incierto","Feliz","No","No","Probable","Feliz","No","No","Incierto","Feliz","No","No","Cierto","Feliz","No","No","Cierto","Feliz",16.67,NA,3,4.3,3.7,3.04,5.22,3.36,3.6,3.09,3.1,4.59,4.58,4.52,3.21,2.74,4.35
5932,"India","Asia",2,57,"Gen X",1,3641,"No","No","Incierto","Feliz","Sí","No","Probable","Feliz","No","No","Cierto","Triste","No","No","Probable","Feliz","No","No","Incierto","Feliz","No","No","Cierto","Neutral",16.67,100,2.5,4.32,4.45,4.22,3.88,3.44,3.54,3.94,4.43,5.33,4.88,4.2,3.84,2.61,2.86
5945,"India","Asia",2,53,"Gen X",1,2943,"No","No","Probable","Neutral","Sí","No","Cierto","Feliz","No","Sí","","","No","No","Probable","Neutral","Sí","No","Probable","Triste","No","No","Incierto","Neutral",33.33,100,2,2.34,2.97,3.31,4.47,4.31,4.72,2.65,3.3,5.13,4.9,3.75,4.21,4.22,5.21
5946,"Suecia","Europa",1,43,"Millennial",1,110208,"Sí","No","Probable","Triste","Sí","No","Cierto","Neutral","No","Sí","","","No","No","Cierto","Feliz","No","No","Incierto","Triste","No","No","Incierto","Neutral",33.33,100,1.8,6.21,4.67,4.4,5.24,3.52,3.65,2.54,4.08,3.57,3.35,4.28,2.89,4.29,4.12
5948,"Suecia","Europa",2,19,"Gen Z",1,36538,"No","No","Incierto","Neutral","No","Sí","","","Sí","No","Cierto","Triste","No","No","Incierto","Triste","Sí","No","Probable","Neutral","No","No","Cierto","Feliz",33.33,100,1.8,4.32,3.01,3.81,5.02,2.14,3.82,2.53,3.44,2.45,4.61,2.93,3.77,2.95,3.82
5949,"Suecia","Europa",1,35,"Millennial",1,77111,"Sí","Sí","","","Sí","Sí","","","No","No","Cierto","Triste","Sí","Sí","","","Sí","No","Improbable","Feliz","No","Sí","","",66.67,0,2,5.58,3.36,4.51,3.99,3.68,2.51,2.6,4.43,2.9,3.76,3.19,4.15,2.77,5.03
5955,"Suecia","Europa",1,61,"Baby Boomer",1,45632,"No","Sí","","","Sí","No","Probable","Triste","No","Sí","","","Sí","Sí","","","No","No","Cierto","Triste","No","Sí","","",33.33,100,1,4.59,3.79,4.28,3.54,4.04,4.23,5.77,5.31,2.71,3.44,4.13,4.82,5.77,4.43
5958,"India","Asia",2,37,"Millennial",1,3932,"No","No","Incierto","Feliz","Sí","No","Improbable","Triste","No","No","Incierto","Feliz","No","No","Cierto","Triste","Sí","No","Incierto","Triste","No","No","Probable","Neutral",33.33,0,1.83,3.89,3.58,4.19,4.48,3.5,5.51,3.09,3.76,5.55,3.17,4.32,2.6,3.82,3.53
5966,"Suecia","Europa",2,42,"Millennial",2,36429,"No","No","Improbable","Feliz","Sí","No","Improbable","Triste","No","Sí","","","No","No","Cierto","Feliz","No","No","Probable","Triste","Sí","Sí","","",33.33,0,NA,4.26,4.54,3.64,3.71,5.35,3.49,4.13,5.53,4.29,4.56,3.73,3.81,3.97,3.86
5969,"India","Asia",1,51,"Gen X",2,4495,"No","No","Incierto","Neutral","Sí","Sí","","","No","No","Probable","Triste","Sí","No","Probable","Neutral","No","No","Probable","Neutral","No","Sí","","",33.33,100,1.75,3.63,3.18,4.52,3.77,3.45,3.71,4.58,3.41,4.51,5.26,3.74,5.06,4.01,3.86
5972,"Suecia","Europa",1,68,"Baby Boomer",1,82692,"No","Sí","","","Sí","Sí","","","No","No","Probable","Feliz","No","No","Probable","Triste","Sí","No","Probable","Feliz","No","No","Cierto","Feliz",33.33,100,2.5,4.23,4.61,3.78,3.53,4.95,4.5,3.85,4.74,3.17,3.51,3.21,4.9,5.01,5.45
5973,"Suecia","Europa",1,65,"Baby Boomer",2,40263,"Sí","No","Cierto","Neutral","Sí","No","Probable","Neutral","Sí","No","Incierto","Neutral","No","Sí","","","No","No","Probable","Triste","No","Sí","","",50,66.67,1.75,4.62,4.58,3.06,3.78,5.34,3.91,3.67,2.44,4.25,3.63,1.98,5.24,2.21,4.95
5979,"India","Asia",1,29,"Gen Z",2,2623,"No","No","Probable","Neutral","Sí","No","Incierto","Triste","No","No","Incierto","Triste","Sí","No","Improbable","Triste","No","No","Incierto","Triste","No","No","Incierto","Feliz",33.33,0,1.5,3.9,3.39,2.89,4.96,2.7,4.28,1.08,4.08,5.49,3.43,3.15,3.57,3.54,4.95
5983,"India","Asia",1,65,"Baby Boomer",1,2674,"Sí","Sí","","","No","No","Probable","Feliz","No","Sí","","","Sí","No","Probable","Triste","No","No","Probable","Triste","No","No","Probable","Neutral",33.33,100,1.75,3.59,3.92,3.07,4.24,3.55,3.57,3.68,3.44,5.41,3.23,3.69,4.78,4.02,4.07
6016,"Suecia","Europa",2,45,"Millennial",1,96882,"Sí","No","Cierto","Neutral","Sí","No","Probable","Triste","No","No","Cierto","Neutral","Sí","No","Probable","Triste","Sí","Sí","","","No","Sí","","",66.67,100,1.5,4.26,5.21,2.96,3.46,3.73,4.31,4.23,6.35,2.55,3.7,3.88,3.74,3.71,4.38
6025,"India","Asia",2,73,"Baby Boomer",2,4377,"No","No","Incierto","Feliz","No","No","Cierto","Triste","No","No","Probable","Feliz","Sí","Sí","","","No","No","Probable","Feliz","No","No","Cierto","Neutral",16.67,NA,2.4,4.44,4,4.97,4.29,5.07,2.37,4.12,3.97,3.87,5.15,4.78,4.36,4.17,5.2
6028,"India","Asia",2,41,"Millennial",1,2595,"Sí","No","Probable","Feliz","Sí","No","Probable","Feliz","Sí","No","Incierto","Triste","No","No","Incierto","Feliz","No","No","Incierto","Neutral","No","No","Improbable","Neutral",50,66.67,2.33,3.4,2.57,3.6,3.61,3.32,4.71,2.86,3.41,4.87,4.28,4.1,2.72,2.85,3.03
6046,"India","Asia",1,39,"Millennial",1,2319,"Sí","No","Probable","Triste","No","No","Probable","Triste","No","No","Incierto","Triste","Sí","No","Probable","Neutral","No","No","Incierto","Triste","No","No","Probable","Feliz",33.33,100,1.5,3.84,2.3,4.94,4.93,2.91,3.4,3.01,3.36,4.88,4.6,4.96,2.51,3.6,3.18
6048,"Suecia","Europa",1,28,"Gen Z",1,42250,"No","No","Incierto","Neutral","Sí","No","Cierto","Triste","Sí","No","Probable","Triste","No","No","Cierto","Feliz","No","No","Cierto","Feliz","No","No","Incierto","Feliz",33.33,100,2.17,4.15,4.37,3.39,4.08,3.04,4.54,3.49,3.41,5.07,2.8,2.93,3.76,2.99,4.76
6051,"India","Asia",2,41,"Millennial",2,4170,"No","No","Incierto","Neutral","Sí","Sí","","","No","No","Probable","Neutral","No","No","Probable","Triste","No","No","Incierto","Triste","No","No","Improbable","Neutral",16.67,NA,1.6,3.86,3,4.23,5.54,3.25,3.16,2.43,2.45,5.78,2.94,4.53,2.7,2.66,3.05
6062,"India","Asia",2,42,"Millennial",1,4555,"No","No","Incierto","Feliz","No","No","Probable","Feliz","Sí","No","Cierto","Neutral","No","No","Cierto","Neutral","No","No","Probable","Feliz","No","Sí","","",16.67,100,2.6,2.49,4.42,4.91,4.72,2.15,4.07,3.01,3.06,4.88,4.57,5.12,3.61,2.56,2.96
6090,"India","Asia",1,41,"Millennial",2,1486,"No","No","Probable","Feliz","Sí","No","Incierto","Feliz","No","No","Probable","Neutral","Sí","No","Incierto","Triste","Sí","No","Cierto","Triste","No","Sí","","",50,33.33,2,2.24,2.71,3.43,4.29,3.47,3.68,2.99,2.3,5.59,3.21,3.47,3.31,3.68,3.66
6097,"Suecia","Europa",1,45,"Millennial",1,83103,"Sí","Sí","","","Sí","Sí","","","No","No","Probable","Feliz","No","No","Probable","Feliz","No","No","Probable","Neutral","No","No","Incierto","Triste",33.33,NA,2.25,4.95,4.75,4.66,4.57,3.73,3.47,4.58,5.27,3.02,3.53,3.78,4.66,2.76,2.65
6101,"Suecia","Europa",1,73,"Baby Boomer",2,71594,"Sí","Sí","","","No","Sí","","","No","Sí","","","Sí","No","Cierto","Feliz","No","No","Probable","Neutral","No","Sí","","",33.33,100,2.5,4.75,4.59,4.77,4.42,4.97,4.43,6.13,4.63,3.68,3.72,4.35,4.27,5.91,4.14
6113,"Suecia","Europa",1,47,"Gen X",2,43453,"No","Sí","","","Sí","No","Cierto","Neutral","Sí","Sí","","","No","No","Cierto","Neutral","No","No","Cierto","Feliz","Sí","No","Probable","Neutral",50,100,2.25,4.43,3.73,3.21,3.53,4.45,4.91,3.01,4.85,3.19,3.32,4.49,4.24,4.15,3.87
6116,"India","Asia",2,70,"Baby Boomer",2,3358,"Sí","No","Probable","Triste","No","No","Cierto","Triste","No","Sí","","","No","No","Probable","Neutral","No","Sí","","","No","Sí","","",16.67,100,1.33,3,3.02,3.35,3.33,3.7,4.57,4.54,3.41,4.69,2.47,4.31,3.78,5.32,3.51
6122,"India","Asia",1,50,"Gen X",2,3778,"No","No","Probable","Neutral","No","No","Incierto","Feliz","No","No","Probable","Feliz","Sí","Sí","","","Sí","No","Probable","Feliz","No","Sí","","",33.33,100,2.75,3.83,3.31,2.94,3.66,3.83,3.86,2.72,4.53,3.63,3.54,3.64,4.76,3.65,3.29
6127,"Suecia","Europa",1,47,"Gen X",2,45819,"Sí","Sí","","","No","No","Probable","Neutral","Sí","Sí","","","No","Sí","","","No","Sí","","","Sí","No","Probable","Triste",50,100,1.5,4.76,5.16,3.46,3.95,4.04,4.36,5.07,5.34,4.45,4.64,3.45,5.67,5.56,4.79
6134,"India","Asia",1,35,"Millennial",2,4219,"No","Sí","","","No","No","Cierto","Neutral","Sí","No","Probable","Neutral","Sí","No","Incierto","Triste","Sí","No","Incierto","Triste","No","No","Incierto","Feliz",50,33.33,1.8,3.55,4.34,5.03,4.18,4.81,3.68,3.5,3.88,4.42,5.85,3.28,4.82,4.38,3.55
6136,"India","Asia",2,37,"Millennial",2,1937,"Sí","No","Probable","Triste","Sí","No","Improbable","Feliz","No","Sí","","","No","No","Improbable","Neutral","No","Sí","","","No","No","Incierto","Triste",33.33,50,1.75,3.56,4.49,3.49,3.51,4.71,3.69,3.24,4.37,4.77,3.13,3.2,2.91,3.89,4.46
6137,"India","Asia",2,54,"Gen X",2,2897,"No","No","Probable","Triste","No","No","Probable","Feliz","No","No","Probable","Neutral","No","Sí","","","No","Sí","","","Sí","No","Probable","Triste",16.67,100,1.75,3.73,3.33,3.52,3.8,3.81,3.95,3.46,2.98,5.37,5.13,4.09,4.24,3.47,2.78
6157,"Suecia","Europa",1,38,"Millennial",1,109166,"Sí","Sí","","","No","No","Cierto","Neutral","No","Sí","","","Sí","No","Probable","Triste","No","No","Cierto","Triste","Sí","No","Probable","Neutral",50,100,1.5,4.15,4.73,4.07,3.81,4.5,3.3,4.42,4.96,3.93,3.95,4.59,4.65,4.95,2.3
6171,"India","Asia",2,36,"Millennial",1,6719,"No","No","Probable","Neutral","No","No","Cierto","Neutral","No","No","Incierto","Triste","No","No","Incierto","Triste","Sí","No","Probable","Feliz","No","No","Improbable","Neutral",16.67,100,1.83,4.55,4.14,4.84,4.5,4.28,3.78,4.83,4.47,4.88,5.39,5.44,4.72,4.03,4.41
6173,"India","Asia",1,41,"Millennial",1,4515,"No","No","Incierto","Neutral","No","No","Cierto","Triste","No","No","Probable","Feliz","Sí","No","Probable","Neutral","No","No","Cierto","Triste","No","Sí","","",16.67,100,1.8,4.52,3.32,5.06,4.67,2.67,4.61,3.74,4.3,5.15,3.53,4.8,4.56,2.23,3.49
6176,"Suecia","Europa",1,24,"Gen Z",2,64909,"Sí","No","Incierto","Triste","Sí","No","Probable","Feliz","No","Sí","","","Sí","No","Incierto","Neutral","No","No","Incierto","Neutral","No","Sí","","",50,33.33,2,3.94,2.58,3.73,3.86,2.55,4.37,2.19,3.3,3.41,3.38,3.93,3.17,3.71,4.22
6177,"Suecia","Europa",1,70,"Baby Boomer",2,54090,"Sí","Sí","","","Sí","Sí","","","Sí","No","Probable","Triste","No","Sí","","","No","No","Probable","Neutral","No","No","Probable","Feliz",50,100,2,5.04,5.31,3.02,3.63,5.15,4.4,4.68,4.77,3.78,3.55,2.04,4.86,5.79,4.59
6188,"India","Asia",1,31,"Millennial",2,2700,"Sí","No","Incierto","Feliz","No","No","Probable","Feliz","No","No","Incierto","Triste","No","No","Incierto","Neutral","No","No","Incierto","Triste","Sí","Sí","","",33.33,0,2,3.3,2.98,5.74,4.12,3.6,2.16,2.35,3.9,6.03,5.17,4.49,2.33,2.05,2.92
6195,"Suecia","Europa",1,25,"Gen Z",2,44622,"Sí","No","Incierto","Triste","No","No","Probable","Triste","Sí","No","Probable","Triste","No","No","Incierto","Triste","No","No","Probable","Triste","Sí","No","Improbable","Feliz",50,33.33,1.33,4.3,3.14,3.77,3.87,3.83,4.42,3.99,3.08,5.11,5.74,3.48,3.6,3.06,2.64
6199,"India","Asia",1,23,"Gen Z",1,3867,"No","No","Cierto","Triste","Sí","No","Incierto","Neutral","No","No","Probable","Triste","No","No","Incierto","Neutral","No","No","Incierto","Neutral","No","No","Incierto","Feliz",16.67,0,1.83,3.82,3.61,6.32,5.17,3.69,2.7,3.7,3.9,4.94,5.41,4.91,3.94,1.99,2
6204,"Suecia","Europa",2,41,"Millennial",2,36088,"Sí","No","Probable","Triste","Sí","No","Probable","Feliz","No","No","Probable","Triste","No","No","Probable","Triste","No","No","Probable","Triste","No","No","Probable","Feliz",33.33,100,1.67,5.12,5.04,5.56,3.91,4.23,3.5,3.37,4,4.17,4.43,3.54,4.01,1.99,3.35
6205,"Suecia","Europa",1,30,"Gen Z",1,93146,"Sí","No","Probable","Triste","Sí","No","Incierto","Feliz","Sí","Sí","","","Sí","No","Incierto","Triste","Sí","No","Improbable","Triste","No","No","Incierto","Triste",83.33,25,NA,5.49,3.15,3.75,5.27,3.53,4.49,3.57,5.32,2.76,3.09,2.43,3.45,3.71,4.1
6214,"India","Asia",2,42,"Millennial",1,7382,"Sí","No","Incierto","Triste","No","Sí","","","Sí","Sí","","","Sí","No","Incierto","Triste","No","No","Improbable","Feliz","No","Sí","","",50,0,1.67,3.75,3.68,4.01,3.63,4.32,4.64,1.03,4.49,4.74,3.81,3.76,2.6,2.42,2.38
6217,"Suecia","Europa",2,25,"Gen Z",2,57770,"Sí","No","Incierto","Triste","Sí","Sí","","","No","No","Cierto","Feliz","Sí","No","Probable","Triste","No","No","Incierto","Triste","Sí","No","Probable","Triste",66.67,66.67,1.4,3.83,5.18,3.86,3.51,4.65,4.23,4.22,4.84,4.05,4.56,3.71,4.41,4.24,5.59
6223,"Suecia","Europa",1,49,"Gen X",2,26516,"Sí","Sí","","","Sí","No","Probable","Triste","Sí","Sí","","","No","Sí","","","Sí","Sí","","","Sí","Sí","","",83.33,100,1,4.68,4.85,3.47,3.44,3.55,4.33,4.79,4.72,4.34,2.62,4.45,4.66,4.84,4.59
6234,"India","Asia",1,29,"Gen Z",2,2654,"No","No","Improbable","Triste","No","No","Improbable","Triste","Sí","No","Probable","Feliz","Sí","No","Incierto","Feliz","No","No","Incierto","Feliz","No","No","Incierto","Neutral",33.33,50,2.17,3.25,2.89,4.41,4.31,2.89,4.38,1.8,4.93,4.04,3.99,3.93,1.88,2.97,3.91
6235,"India","Asia",2,49,"Gen X",2,3962,"Sí","Sí","","","No","No","Probable","Feliz","No","No","Improbable","Triste","No","No","Cierto","Triste","Sí","Sí","","","No","No","Improbable","Neutral",33.33,NA,1.75,4.88,3.31,4.05,4.66,3.52,3.97,4.38,3.63,3.47,5.45,3.23,4.22,3.81,3.61
6239,"India","Asia",1,26,"Gen Z",1,4038,"No","No","Incierto","Feliz","No","No","Improbable","Triste","Sí","No","Improbable","Feliz","No","No","Incierto","Neutral","No","No","Incierto","Triste","No","Sí","","",16.67,0,2,3.94,3.83,4.46,4.41,3.02,3.03,2.38,3.54,4.71,5.54,5.2,1.4,2.36,2.86
6258,"India","Asia",1,23,"Gen Z",1,4992,"No","No","Incierto","Neutral","No","No","Incierto","Triste","Sí","Sí","","","No","No","Incierto","Feliz","No","No","Incierto","Feliz","No","No","Incierto","Neutral",16.67,NA,2.2,4.82,3.72,5.45,5.41,3.13,3.53,2.36,4.06,4.8,3.92,3.84,2.56,3.17,3.54
6263,"India","Asia",2,34,"Millennial",1,5776,"Sí","No","Probable","Triste","No","No","Probable","Feliz","No","No","Cierto","Triste","No","No","Improbable","Neutral","No","No","Incierto","Neutral","No","No","Incierto","Neutral",16.67,100,1.83,3.34,4.47,4.35,4.13,2.92,3.72,3.86,3.08,3.95,4.99,4.5,4.61,4.07,4.47
6264,"Suecia","Europa",1,36,"Millennial",2,49915,"Sí","No","Incierto","Triste","Sí","No","Incierto","Triste","Sí","No","Incierto","Feliz","No","No","Incierto","Triste","No","No","Incierto","Neutral","No","No","Probable","Feliz",50,0,1.83,3.52,3.54,2.44,4.11,3.88,4.43,4.2,4.6,4.58,3.62,3.02,3.57,4.43,4.87
6266,"India","Asia",1,65,"Baby Boomer",1,9399,"No","Sí","","","Sí","No","Cierto","Feliz","No","No","Probable","Feliz","No","No","Incierto","Triste","Sí","No","Probable","Triste","No","Sí","","",33.33,100,2,4.04,3.39,3.3,4.55,4.58,4.1,3.47,3.79,4.96,4.46,4.74,2.63,3.9,3.07
6278,"India","Asia",1,65,"Baby Boomer",1,4950,"Sí","Sí","","","Sí","Sí","","","No","No","Probable","Neutral","Sí","No","Probable","Feliz","No","No","Probable","Feliz","No","No","Incierto","Neutral",50,100,2.5,3.78,3.47,3.62,3.24,3.8,3.39,3.88,2.03,5.17,3.65,4.7,3.86,3.92,3.53
6285,"India","Asia",1,18,"Gen Z",1,1255,"Sí","Sí","","","No","No","Improbable","Feliz","No","No","Probable","Neutral","Sí","No","Incierto","Neutral","Sí","No","Improbable","Feliz","No","No","Incierto","Feliz",50,0,2.6,4.47,1.9,5.24,5.51,2.56,4.51,2.73,3.28,5.65,4.28,4.44,2.38,2.74,2.38
6291,"India","Asia",2,65,"Baby Boomer",1,5954,"Sí","Sí","","","Sí","Sí","","","Sí","No","Probable","Feliz","No","Sí","","","Sí","No","Probable","Neutral","No","Sí","","",66.67,100,2.5,3.56,3.78,5.14,4.65,4.21,3.59,3.92,3.98,4.54,5.15,4.94,4.41,3.17,2.45
